Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,P_ext,N_t,VVT_ex_crk,VVT_in_crk,Ign_angle_crk,VSP,CO,CO2,Nox,HC
4.67316130338553e-20,42.80407,0.70636,780.750000000034,0,4.41000000000036,84.75,58.3068430000066,287.000000000008,1.63249299999841,5299.61768800001,0.0,0.0600000000001094,0.374999999998974,0.04277922773422526,0.0,0.0,84.860613999999,0.0
0.1,42.80407,0.66414,780.75,0,4.41,84.75,58.306843,287.0,1.908257,5256.020665,0.0,0.06,0.375,0.040222261038857135,0.0,117.747129790858,85.087872,1515.62292518773
0.2,42.80407,0.602799,771.75,0,4.46,84.75,59.006271,288.0,0.227409,5248.666951,0.0,0.06,1.875,0.03608643756261149,5.29111603811161,219.89950904057,85.383673,2595.4802370609
0.3,42.80407,0.6081,773.0,0,4.42,84.75,58.497597,289.0,3.083538,5237.636379,0.0,0.1,0.375,0.03646274387202142,17.9037618863708,262.168788307001,85.26008,3134.08708817035
0.4,42.80407,0.648237,773.0,0,4.42,84.75,58.497597,289.0,0.0,5221.090521,0.0,0.1,0.375,0.038869428875789425,23.3145295868995,281.875162464619,84.792357,3413.99888798234
0.5,42.80407,0.68099,773.0,0,4.42,84.75,58.497597,289.0,3.36915,5198.241479,0.0,0.1,0.375,0.04083335627266547,25.4009700445298,290.327750106455,84.725219,3572.53847939038
0.6,42.81491,0.703141,759.25,0,4.44,84.75,58.603569,290.0,0.0,5196.928315,0.0,0.08,3.0,0.04141160590317741,25.8817083707871,288.879008626876,84.50787,3666.90574888522
0.7,42.81491,0.772056,752.5,0,4.48,84.75,59.302998,291.0,2.144626,5167.776089,0.0,0.04,3.75,0.045066118690477545,26.2739884657507,293.138978283368,84.311566,3752.11433782978
0.8,42.81491,0.811246,752.5,0,4.48,84.75,59.302998,291.0,1.350163,5156.745517,0.0,0.04,3.75,0.047353700409264544,26.4655268134547,294.101236023065,83.568441,3826.7791597965
0.9,42.81491,0.867287,752.5,0,4.48,84.75,59.302998,291.0,0.654187,5159.109211,0.0,0.04,3.75,0.050624901407032914,26.4878776215735,296.065803842422,83.253674,3895.1495341225
1.0,42.81491,0.843621,761.75,0,4.48,84.75,59.302998,293.0,1.980481,5136.260169,0.0,0.1,1.125,0.049848798421202996,26.9165362575377,301.546652843955,82.97802,3939.6703272832
1.1,42.81491,0.87486,756.0,0,4.47,84.75,59.302998,292.0,1.330465,5104.218984,0.0,0.08,1.5,0.051304469979831895,26.5338752953436,299.463023884823,82.761397,3980.93208946422
1.2,42.81491,0.861039,756.0,0,4.47,84.75,59.302998,292.0,1.294353,5081.369942,0.0,0.08,1.5,0.050493964207946974,26.4689538595075,299.350848373437,82.591155,4035.65809129108
1.3,42.81491,0.836994,755.0,0,4.45,84.75,58.900299,291.0,0.486758,5086.09733,0.0,0.08,1.875,0.049018965978556664,26.3131957290332,299.530084502693,82.495468,4094.78278235042
1.4,42.81491,0.76524,755.0,0,4.45,84.75,58.900299,291.0,1.343597,5065.611982,0.0,0.0800000000000001,1.87500000000001,0.044816657616937164,26.259218443839,300.321788848255,82.173183,4141.18491309262
1.5,42.81491,0.754827,741.5,0,4.48,84.75,59.408974,292.0,0.943082,5061.672492,0.0,0.12,4.5,0.04341636215570375,25.5453423810349,294.496653640045,82.534084,4174.61914652568
1.6,42.810225,0.67815,751.25,0,4.44,84.75,58.794323,293.0,2.587819,5050.379288,0.0,0.1,1.875,0.03951892302090071,25.8642649318308,299.718072078511,82.416031,4202.1445841619
1.7,42.810225,0.632901,751.25,0,4.44,84.75,58.794323,293.0,0.0,5034.883961,0.0,0.0999999999999999,1.875,0.03688205544326635,25.7671706249357,300.826179310145,81.963396,4240.832496991
1.8,42.810225,0.605449,740.0,0,4.48,84.75,59.408974,294.0,1.717848,5025.429185,0.0,0.06,3.75,0.034753947076227955,25.3034616533368,296.594085567158,81.620711,4270.96499346384
1.9,42.810225,0.60242,745.5,0,4.465,84.75,59.2076225,294.0,1.318975,5016.893623,0.0,0.08,2.625,0.03483709068328351,25.6087050601685,299.01183401709,81.43483,4304.5589567577
2.0,42.810225,0.599391,751.0,0,4.45,84.75,59.006271,294.0,0.920102,5008.358061,0.0,0.1,1.5,0.03491764972921253,25.1743118718472,299.905913115633,81.248949,4202.61344761295
2.1,42.810225,0.573832,738.5,0,4.47,84.75,59.408974,294.0,0.870858,4998.115387,0.0,0.1,4.125,0.03287230155917812,24.9896124433009,297.985871152522,81.152259,4487.24823681058
2.2,42.810225,0.621731,738.5,0,4.47,84.75,59.408974,294.0,1.593098,4969.75106,0.0,0.1,4.125,0.035616223774012905,24.8318175726716,298.364107657768,81.111158,4298.34080245668
2.3,42.810225,0.614916,752.25,0,4.45,84.75,59.006271,294.0,1.008741,5005.731735,0.0,0.08,0.75,0.0358816858322101,25.0965700431806,302.055553063878,81.011613,4379.03263720447
2.4,42.810225,0.631008,752.25,0,4.45,84.75,59.006271,294.0,1.639059,4976.054244,0.0,0.0800000000000001,0.750000000000018,0.03682068902681217,25.4158605904213,302.735810040335,81.10081,4633.4695761259
2.5,42.810225,0.659218,737.5,0,4.53,84.0,60.19318,294.0,1.353446,4972.377386,0.0,0.1,4.875,0.03771255281757259,24.7740497772862,298.924788128509,81.31566,4548.71646542461
2.6,42.813288,0.645776,750.5,0,4.48,84.0,59.408974,294.0,1.711283,4959.508386,0.0,0.12,1.125,0.03759477125104158,24.7560456122469,306.30444320093,81.288896,4502.29862758633
2.7,42.813288,0.739302,750.5,0,4.48,84.0,59.408974,294.0,1.458499,4968.963162,0.0,0.12,1.125,0.043039520786522796,24.8092508754257,305.852499436633,81.420261,4473.32907498664
2.8,42.813288,0.681937,742.75,0,4.48,84.0,59.408974,293.0,0.890556000000007,4932.982487,0.0,0.1,2.625,0.039289976101359675,24.4382696694521,300.611385496612,81.320576,4355.70072245575
2.9,42.813288,0.748769,742.75,0,4.48,84.0,59.408974,293.0,2.34816599999999,4932.194589,0.0,0.0999999999999998,2.625,0.043140519014863515,24.343133457886,301.667232141853,81.581618,4513.99100255737
3.0,42.813288,0.783037,749.0,0,4.44,84.0,58.794323,293.0,0.378422,4884.920709,0.0,0.06,1.5,0.045494505721729736,24.2372429571632,302.029297613536,81.990949,4491.92562263681
