Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,P_ext,N_t,VVT_ex_crk,VVT_in_crk,Ign_angle_crk,VSP,CO,CO2,Nox,HC
4.67316130338553e-20,22.047292,0.825635,842.825,0,6.453,29.25,73.9019638,323.9,0.998892,1348.046716,0.056,0.062,4.425,0.053978443073134465,0.0,0.0,93.0615677,20829.0
0.1,22.047292,0.887355,842.0,0,6.46,29.25,73.990982,324.0,4.685596,1347.521451,0.06,0.06,4.5,0.057956792423808294,0.0,210.595262334239,92.916369,11105.9283642553
0.2,22.047292,0.898715,842.0,0,6.46,29.25,73.990982,324.0,3.779514,1372.734185,0.06,0.06,4.5,0.05869876058980101,0.0,396.782063240085,92.733584,7024.83300905982
0.3,22.047292,0.870316,842.0,0,6.46,29.25,73.990982,324.0,4.419681,1354.3499,0.06,0.06,4.5,0.05684390548891835,0.0,479.759822526881,92.067442,5439.20271632273
0.4,22.047292,0.8685950909,848.8181818,0,6.632727273,29.25,75.99484927,331.272727272727,4.24359736363636,1389.924686,0.0236363636363636,0.06,3.47727272727273,0.0571908950784296,4.27803251604316,538.477966211965,92.0340774545455,4932.82727466492
0.5,22.047292,0.8113405,855.8,0,6.65,29.25,76.195236,332.0,3.7148403,1420.901013,0.038,0.06,3.375,0.05386048837188089,12.0287523566117,564.828300624499,92.2241366,4878.09846496134
0.6,22.047292,0.8024429,856.5,0,6.65,29.25,76.195236,332.0,4.5385223,1407.638064,0.04,0.06,3.375,0.05331339699525111,14.2052889048285,573.578771296217,93.0105827,4990.28628761864
0.7,22.047292,0.7443952,856.5,0,6.65,29.25,76.195236,332.0,5.3336424,1439.153983,0.04,0.06,3.375,0.049456773583465376,14.2362360945182,580.099891367777,94.1843062,5157.68792973178
0.8,22.0601728,0.6887335,858.075,0,6.668,29.25,76.3859928,332.0,4.5099607,1429.384048,0.058,0.042,3.375,0.04584281797871232,13.5262531824641,584.917570789935,94.9618431,5328.94159850105
0.9,22.061604,0.6764463,858.25,0,6.67,29.25,76.407188,332.0,3.6179949,1443.96016,0.06,0.04,3.375,0.045034151780950084,12.605386976954,588.828205006849,94.9928676,5468.87477480726
1.0,22.061604,0.64161,855.5,0,6.62,29.25,75.792542,333.0,2.338318,1425.260715,0.04,0.06,3.0,0.04257807155661404,11.3627615354638,584.832147891644,94.683915,5585.73905413437
1.1,22.061604,0.592954,855.5,0,6.62,29.25,75.792542,333.0,2.738833,1427.887042,0.04,0.06,3.0,0.03934919630582523,10.4305967347096,585.564415570172,94.003558,5680.4710862881
1.2,22.061604,0.592954,855.5,0,6.62,29.25,75.792542,333.0,2.738833,1427.887042,0.04,0.06,3.0,0.03934919630582523,9.6011753541802,586.346710607787,93.140903,5747.33552366306
1.3,22.061604,0.6741912727,855.5,0,6.62,29.25,75.792542,333.0,2.89700936363636,1430.513368,0.04,0.06,3.0,0.04474020706015382,8.87185319273966,589.021769644668,92.3924193636364,5807.62934350611
