Time_s,Tink_temp,Tqe,N,Gear,Vxx,TCOOL,Qa,P_int,Ign_angle_crk,VVT_in_crk,VVT_ex_crk,N_t,P_ext,VSP,CO,CO2,Nox,HC
4.67316130338553e-20,42.80407,0.70636,1002.5,0,7.42,1.5,69.010208,300.0,0.375,0.06,0.0,348.204227,0.0,0.054929459882880505,0.0,0.0,165.158984,54479.0
0.1,42.80407,0.66414,1002.5,0,7.42,1.5,69.010208,300.0,0.375,0.06,0.0,337.961554,3.078184,0.05164625897080279,0.0,303.7781631,164.600057,26081.28592
0.2,42.80407,0.602799,1002.5,0,7.42,1.5,69.010208,300.0,1.875,0.06,0.0,354.770043,0.0,0.046876130426327205,0.0,541.5130701,163.819279,13766.57016
0.3,42.80407,0.6081,989.0,0,7.62,1.5,71.40522,308.0,0.375,0.1,0.0,354.770043,0.0,0.046651557166143845,0.0,656.303881,163.357333,8841.695284
0.4,42.80407,0.648237,996.0,0,7.7,1.5,72.401375,310.0,0.375,0.1,0.0,341.638411,2.910756,0.05008273112585546,14.91403463,720.9411696,162.547163,7096.042602
0.5,42.80407,0.68099,996.0,0,7.7,1.5,72.401375,310.0,0.375,0.1,0.0,366.588512,0.415747,0.052613224899838044,22.70588684,738.8856969,161.886228,6690.563606
0.6,42.81491,0.703141,1001.75,0,7.57,1.5,71.807922,306.0,3.0,0.08,0.0,366.32588,0.0,0.05463823011328018,26.17183228,746.9427993,161.464912,6822.714279
0.7,42.81491,0.772056,1001.75,0,7.57,1.5,71.807922,306.0,3.75,0.04,0.0,368.164308,3.189803,0.05999333474841978,25.10135494,752.4908269,161.077515,7142.989461
0.8,42.81491,0.811246,999.0,0,7.44,1.5,70.493843,304.0,3.75,0.04,0.0,366.588512,0.0,0.0628655770217346,24.05886597,744.2015713,161.016291,7484.156648
0.9,42.81491,0.867287,999.0,0,7.44,1.5,70.493843,304.0,3.75,0.04,0.0,345.052635,0.0,0.06720834087126364,23.07394839,749.7589901,161.065633,7807.722053
1.0,42.81491,0.843621,999.0,0,7.44,1.5,70.493843,304.0,1.125,0.1,0.0,349.254758,2.825401,0.06537440055501384,22.7201705,753.3137097,160.629322,8207.097478
1.1,42.81491,0.87486,1000.75,0,7.45,1.5,70.599815,303.0,1.5,0.08,0.0,355.557941,0.0,0.06791395282052484,21.31436925,756.9291582,160.535699,8359.36635
1.2,42.81491,0.861039,1000.75,0,7.45,1.5,70.599815,303.0,1.5,0.08,0.0,381.821206,0.0,0.06684105116548007,20.17217978,757.5282466,160.28659,8359.673426
1.3,42.81491,0.836994,1000.75,0,7.45,1.5,70.599815,303.0,1.875,0.08,0.0,357.133737,3.120862,0.06497447709011998,18.44855198,758.2727016,160.208912,8569.365791
1.4,42.81491,0.76524,997.5,0,7.59,1.5,71.998672,306.0,1.875,0.08,0.0,372.36643,0.832676,0.0592114118846289,18.98683564,772.1688244,160.159012,8733.017022
1.5,42.81491,0.754827,997.5,0,7.63,1.5,72.401375,310.0,4.5,0.12,0.0,381.29594,0.0,0.05840569285275049,18.18620282,781.2927843,160.672953,8864.402426
1.6,42.810225,0.67815,997.5,0,7.63,1.5,72.401375,310.0,1.875,0.1,0.0,376.043287,2.871361,0.052472713095971325,17.45372976,782.643163,160.946096,8965.398056
1.7,42.810225,0.632901,997.5,0,7.63,1.5,72.401375,310.0,1.875,0.1,0.0,381.29594,0.061193,0.04897151454862988,16.87931379,780.8059849,161.276484,9045.775399
1.8,42.810225,0.605449,1014.75,0,7.58,1.5,72.507347,308.0,3.75,0.06,0.0,391.013348,0.0,0.04765752404811124,16.53391066,789.0662726,161.549064,9104.614179
1.9,42.810225,0.60242,1014.75,0,7.58,1.5,72.507347,308.0,2.625,0.08,0.0,389.17492,2.280438,0.047419098284187715,16.09604898,790.316793,161.695421,9142.747258
2.0,42.810225,0.599391,1014.75,0,7.58,1.5,72.507347,308.0,1.5,0.1,0.0,392.326511,0.0,0.047180672520264214,15.28454224,791.0944811,162.264223,9168.336034
